DepartureAirportName,ArrivalAirportName,Duration,CompanyName,EconomyClassPrice,BusinessClassPrice,FirstClassPrice,WeekDaysOfFlight,DepartureHours,,
Pisa International Airport,Alexander the Great International Airport,464,International Airlines Group,489,2333,3613,Monday Wednesday Thursday Friday Saturday Sunday,02:03 00:46 05:32,,
Pisa International Airport,Alexander the Great International Airport,314,Smartavia,834,2610,4237,Monday Thursday Saturday,18:40 20:30,,
Sabetta International Airport,Alexander the Great International Airport,303,Icelandair Group,793,1110,2323,Wednesday Thursday Saturday Sunday,22:26 02:42 19:15,,
Sabetta International Airport,Alexander the Great International Airport,384,Virgin Atlantic,150,2159,2810,Thursday Saturday,08:23 02:06,,
Sabetta International Airport,Alexander the Great International Airport,206,Blue Air,207,2564,2410,Wednesday Sunday,18:19 22:42,,
Sabetta International Airport,Alexander the Great International Airport,126,Bulgaria Air,410,2098,4315,Thursday,17:04 21:21 14:45,,
Sabetta International Airport,Alexander the Great International Airport,269,Nordwind Airlines,589,1802,1480,Monday Tuesday Thursday Friday,22:31 05:45,,
Sabetta International Airport,Alexander the Great International Airport,452,Yamal Airlines,684,1207,4352,Tuesday Friday,04:53 22:48 07:34,,
Ufa International Airport,Alexander the Great International Airport,97,AirBaltic,853,1367,4182,Wednesday Sunday,14:15,,
Ufa International Airport,Alexander the Great International Airport,384,TUI Airways,75,1200,3517,Monday Tuesday Wednesday Friday Saturday,00:38 10:33 15:59,,
Ufa International Airport,Alexander the Great International Airport,299,Volotea,107,2861,1563,Wednesday Saturday,13:09 21:14,,
Volgograd International Airport,Alexander the Great International Airport,223,Pegasus Airlines,370,2228,1331,Monday Tuesday Wednesday Saturday,11:52 02:57,,
Volgograd International Airport,Alexander the Great International Airport,411,Air France-KLM,183,1327,2627,Monday Tuesday Thursday,03:47 20:55 17:10,,
Volgograd International Airport,Alexander the Great International Airport,481,Ukraine International Airlines,67,1011,2195,Wednesday Thursday Saturday Sunday,20:52 10:46 09:32,,
Volgograd International Airport,Alexander the Great International Airport,108,AirBaltic,916,753,4401,Monday Wednesday Thursday,21:45,,
Volgograd International Airport,Alexander the Great International Airport,293,Belavia,241,964,1923,Wednesday Friday Saturday,17:16 12:50 07:50,,
Volgograd International Airport,Alexander the Great International Airport,216,EasyJet,522,1299,2737,Wednesday Friday,13:40 14:11 12:39,,
Volgograd International Airport,Alexander the Great International Airport,117,Jet2.com,151,2954,3301,Tuesday Thursday Sunday,23:22 02:53 01:14,,
Volgograd International Airport,Alexander the Great International Airport,249,UTair Aviation,553,2028,4166,Monday Tuesday Saturday Sunday,13:21 16:17,,
Volgograd International Airport,Alexander the Great International Airport,136,Virgin Atlantic,801,1902,3444,Monday Tuesday Thursday Friday Saturday Sunday,09:26 01:59 11:11,,
Antwerp International Airport,Alicante International Airport,172,Enter Air,958,2451,3151,Wednesday Thursday Friday,06:21 09:59 17:46,,
Antwerp International Airport,Alicante International Airport,376,Belavia,98,1792,1971,Monday Tuesday Saturday Sunday,23:24 07:48,,
Antwerp International Airport,Alicante International Airport,413,Pegasus Airlines,488,2848,2062,Wednesday Thursday Sunday,14:17 03:06 09:42,,
Barcelona–El Prat Airport,Alicante International Airport,129,Jet2.com,768,2594,3030,Tuesday Wednesday Sunday,16:08 19:43,,
Barcelona–El Prat Airport,Alicante International Airport,483,Yamal Airlines,282,1315,3370,Monday Friday Saturday Sunday,01:10,,
Barcelona–El Prat Airport,Alicante International Airport,78,Aeroflot Group,83,1788,3858,Monday Tuesday Thursday Friday Saturday,12:51 07:45 04:08,,
Barcelona–El Prat Airport,Alicante International Airport,362,Luxair,782,2191,3575,Monday Tuesday Wednesday Thursday Saturday Sunday,08:28 16:08 00:27,,
Barcelona–El Prat Airport,Alicante International Airport,247,Red Wings Airlines,341,2919,2774,Monday Tuesday Wednesday Friday,12:04 20:50,,
Barcelona–El Prat Airport,Alicante International Airport,232,TAROM,882,1041,2212,Monday Thursday Friday,17:02 22:21 13:15,,
Belfast International Airport,Alicante International Airport,74,Enter Air,225,2020,1624,Tuesday Wednesday Sunday,04:59 23:14,,
Belfast International Airport,Alicante International Airport,102,Azerbaijan Airlines,98,2970,3170,Monday Tuesday Friday Saturday Sunday,09:19 01:18 17:45,,
Belfast International Airport,Alicante International Airport,487,TAROM,848,2679,1649,Monday Tuesday Thursday,08:47,,
Blackpool International Airport,Alicante International Airport,220,TAP Air Portugal,164,1033,1424,Monday Tuesday Wednesday Thursday Sunday,14:49 15:06,,
Blackpool International Airport,Alicante International Airport,119,SkyUp,205,1178,3515,Tuesday Wednesday Thursday Friday,12:31 00:47,,
Blackpool International Airport,Alicante International Airport,60,Wizz Air,918,714,3559,Monday Tuesday Saturday,16:14 17:20 19:59,,
Boryspil International Airport,Alicante International Airport,290,I-Fly,302,1320,1917,Wednesday Friday Saturday,10:15,,
Boryspil International Airport,Alicante International Airport,442,Air Europa,770,2798,1776,Monday Tuesday Thursday,16:57 21:22 23:46,,
Boryspil International Airport,Alicante International Airport,338,Air Malta,913,2686,3840,Saturday Sunday,08:15 16:25 05:55,,
Boryspil International Airport,Alicante International Airport,486,Azerbaijan Airlines,962,2347,2194,Tuesday Wednesday Sunday,02:39 10:46 06:37,,
Boryspil International Airport,Alicante International Airport,451,Icelandair Group,489,2688,3253,Monday Wednesday Thursday Saturday Sunday,23:22 20:10 08:49,,
Boryspil International Airport,Alicante International Airport,113,LOT Polish Airlines,650,1383,1451,Monday Thursday,20:07 13:48 20:42,,
Cahul International Airport,Alicante International Airport,310,AirBaltic,156,1492,3447,Monday Tuesday Friday Sunday,23:45 07:41 03:57,,
Cahul International Airport,Alicante International Airport,326,I-Fly,980,2825,1621,Tuesday Friday,19:02 22:24 18:18,,
Cahul International Airport,Alicante International Airport,254,Nordwind Airlines,380,2603,2972,Wednesday Friday,07:17 12:58 13:38,,
Chania International Airport,Alicante International Airport,339,TAROM,369,1238,2256,Monday Tuesday Thursday Saturday,10:18,,
Chania International Airport,Alicante International Airport,501,EasyJet,448,1009,3927,Wednesday Sunday,01:00 16:59,,
Chania International Airport,Alicante International Airport,414,Aegean Airlines,311,2276,2038,Monday Tuesday Thursday Saturday,00:51 18:56,,
Chania International Airport,Alicante International Airport,237,Finnair,585,1652,3964,Tuesday Thursday Friday Sunday,06:10 02:27 03:13,,
Chania International Airport,Alicante International Airport,357,Icelandair Group,753,1780,3661,Monday Tuesday,21:57 13:12 06:41,,
Chania International Airport,Alicante International Airport,154,Nordwind Airlines,540,2793,2464,Monday Saturday Sunday,20:56 10:05 05:22,,
Exeter International Airport,Alicante International Airport,170,Blue Air,581,1238,1726,Friday Sunday,19:08,,
Exeter International Airport,Alicante International Airport,371,Ural Airlines,501,1333,1817,Monday Tuesday Wednesday Thursday Friday Saturday,06:58 11:48 10:52,,
Exeter International Airport,Alicante International Airport,400,Air Serbia,575,1248,3476,Thursday Friday Saturday Sunday,00:53 07:38,,
Exeter International Airport,Alicante International Airport,495,International Airlines Group,880,2402,2171,Tuesday Thursday Saturday,21:21 14:35,,
Exeter International Airport,Alicante International Airport,112,NordStar,101,866,3285,Monday Tuesday Friday Saturday Sunday,02:11 20:49,,
Exeter International Airport,Alicante International Airport,202,Windrose,853,1978,3977,Monday Tuesday Wednesday Friday Sunday,17:57 18:05 20:23,,
Federico Fellini International Airport,Alicante International Airport,124,International Airlines Group,78,1334,2197,Monday Tuesday Saturday,08:26 00:23,,
Federico Fellini International Airport,Alicante International Airport,450,SAS Group,99,792,4051,Monday Thursday Sunday,01:02 04:48,,
Federico Fellini International Airport,Alicante International Airport,475,Icelandair Group,136,2548,4279,Wednesday Sunday,02:15 16:14 13:20,,
Federico Fellini International Airport,Alicante International Airport,498,Belavia,767,2442,1901,Monday Wednesday Friday Saturday Sunday,06:31 22:49 05:33,,
Federico Fellini International Airport,Alicante International Airport,316,Croatia Airlines,521,1317,2443,Tuesday Sunday,00:38 02:01 09:23,,
Federico Fellini International Airport,Alicante International Airport,383,Jet2.com,326,2101,4021,Wednesday Saturday,14:54 04:15 00:14,,
Federico Fellini International Airport,Alicante International Airport,79,Lufthansa Group,153,2007,1674,Tuesday Sunday,10:51 16:26 23:49,,
Federico Fellini International Airport,Alicante International Airport,335,TAROM,613,1427,4379,Tuesday Wednesday Saturday Sunday,19:52 04:45 12:33,,
Federico Fellini International Airport,Alicante International Airport,104,Ural Airlines,709,785,2716,Monday Wednesday Thursday,11:49 22:32 09:03,,
Geneva Airport,Alicante International Airport,247,NordStar,434,992,4157,Tuesday Thursday Friday,20:45 04:25,,
Geneva Airport,Alicante International Airport,305,Aeroflot Group,1000,1329,4434,Monday Wednesday Thursday Saturday,15:11 10:37 10:57,,
Geneva Airport,Alicante International Airport,326,Blue Air,583,2068,2335,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,15:56 21:32 06:47,,
Geneva Airport,Alicante International Airport,374,Finnair,485,1564,2146,Monday Wednesday Friday Saturday,08:16 10:05 03:04,,
Geneva Airport,Alicante International Airport,167,UTair Aviation,468,1850,1518,Tuesday Wednesday Saturday,18:25 03:51 15:51,,
Geneva Airport,Alicante International Airport,274,Yamal Airlines,219,2349,1644,Tuesday Wednesday Friday,14:42 12:55,,
Ivano-Frankivsk International Airport,Alicante International Airport,94,Azerbaijan Airlines,934,1469,4446,Monday Friday Sunday,14:45 13:20,,
Ivano-Frankivsk International Airport,Alicante International Airport,377,Azur Air,662,2317,4134,Monday Wednesday Friday Saturday,07:10 15:04 02:38,,
Ivano-Frankivsk International Airport,Alicante International Airport,174,EasyJet,913,1944,1835,Tuesday Wednesday Thursday Friday Sunday,09:08 05:24 16:17,,
Ivano-Frankivsk International Airport,Alicante International Airport,377,Finnair,183,1990,3617,Monday Tuesday Thursday Friday Saturday,23:37 10:43,,
Ivano-Frankivsk International Airport,Alicante International Airport,134,International Airlines Group,860,2038,3061,Tuesday Thursday Friday Saturday Sunday,05:27 17:57 07:14,,
Ivano-Frankivsk International Airport,Alicante International Airport,282,TAROM,211,1785,1493,Monday Tuesday Sunday,13:36 07:41 03:09,,
Katowice International Airport,Alicante International Airport,97,Lufthansa Group,215,1211,2992,Tuesday Wednesday Saturday Sunday,04:38 08:19,,
Katowice International Airport,Alicante International Airport,175,NordStar,500,2817,1439,Monday Thursday Friday Saturday,09:54 06:20,,
Katowice International Airport,Alicante International Airport,160,AirBaltic,770,1240,1327,Tuesday Wednesday Friday Saturday Sunday,04:02 13:09 19:57,,
Katowice International Airport,Alicante International Airport,193,Belavia,708,1017,2531,Tuesday Wednesday Thursday,21:15 16:10 04:13,,
Katowice International Airport,Alicante International Airport,289,SmartWings Group,694,1555,3825,Monday Tuesday Friday Saturday Sunday,02:42 11:47 04:50,,
Katowice International Airport,Alicante International Airport,272,Turkish Airlines,577,2175,4126,Monday Wednesday Friday Saturday,20:10 09:34 11:59,,
Kaunas International Airport,Alicante International Airport,200,Air Serbia,977,2081,3024,Monday Tuesday Wednesday Thursday Saturday Sunday,00:53 21:29,,
Kaunas International Airport,Alicante International Airport,448,Royal Flight,325,2404,1679,Tuesday Thursday Friday Saturday,21:22 04:06 22:06,,
Kaunas International Airport,Alicante International Airport,107,SmartWings Group,429,2998,4316,Wednesday Thursday Friday Saturday,15:24 07:58 10:08,,
Kazan International Airport,Alicante International Airport,376,Ryanair,689,1096,2802,Monday Thursday Friday,04:27,,
Kazan International Airport,Alicante International Airport,500,Yamal Airlines,892,2322,2863,Monday Tuesday Wednesday Thursday Friday Saturday,11:40 14:47 14:56,,
Kazan International Airport,Alicante International Airport,396,Aeroflot Group,789,2279,3375,Monday Tuesday Wednesday Thursday Friday Saturday,16:38 14:46,,
Kazan International Airport,Alicante International Airport,230,Bulgaria Air,711,1735,2806,Monday Friday Saturday Sunday,13:09 09:11 19:49,,
Kazan International Airport,Alicante International Airport,273,Icelandair Group,314,2537,4096,Monday Tuesday Saturday Sunday,16:52,,
Kazan International Airport,Alicante International Airport,125,I-Fly,474,1666,2359,Monday Wednesday Saturday,17:12 12:37 10:25,,
Mărculeşti International Airport,Alicante International Airport,293,Aeroflot Group,948,2498,4323,Friday,01:14 18:26,,
Mărculeşti International Airport,Alicante International Airport,397,EasyJet,906,1337,4258,Saturday Sunday,15:03 11:09,,
Mărculeşti International Airport,Alicante International Airport,131,NordStar,817,2354,1856,Monday Thursday,22:10 18:33 15:10,,
Mărculeşti International Airport,Alicante International Airport,423,Royal Flight,687,1672,2130,Monday Tuesday Thursday Saturday,11:49 14:43 20:12,,
Mărculeşti International Airport,Alicante International Airport,284,Ryanair,353,783,2516,Monday Tuesday Thursday Friday Saturday Sunday,18:15 02:00 04:54,,
Mărculeşti International Airport,Alicante International Airport,493,Turkish Airlines,57,1678,2492,Monday Wednesday Thursday Saturday,20:10 19:06 22:17,,
Mariupol International Airport,Alicante International Airport,119,Air Astana,312,1790,2147,Monday Friday Saturday Sunday,23:16,,
Mariupol International Airport,Alicante International Airport,471,Aegean Airlines,990,2207,1409,Monday Wednesday Thursday Friday Saturday Sunday,14:50 07:37 23:19,,
Mariupol International Airport,Alicante International Airport,446,AirBaltic,548,701,3929,Tuesday Wednesday,13:51 05:25 00:39,,
Mihail Kogălniceanu International Airport,Alicante International Airport,142,Air Serbia,528,2049,4021,Monday Tuesday Thursday Saturday,23:20 12:24,,
Mihail Kogălniceanu International Airport,Alicante International Airport,240,Air Malta,824,2699,3641,Wednesday Saturday Sunday,03:12 20:19,,
Mihail Kogălniceanu International Airport,Alicante International Airport,488,Belavia,582,1203,2902,Monday Thursday Friday Saturday Sunday,17:33 03:47,,
Mykolaiv International Airport,Alicante International Airport,70,Bulgaria Air,348,809,1361,Tuesday Wednesday Sunday,16:08 11:16,,
Mykolaiv International Airport,Alicante International Airport,227,Yamal Airlines,569,1285,3989,Thursday,12:03,,
Mykolaiv International Airport,Alicante International Airport,463,Azur Air,914,2815,1504,Monday Wednesday Saturday,02:31 16:55,,
Mykolaiv International Airport,Alicante International Airport,329,Luxair,344,1813,2467,Monday Tuesday Thursday Saturday Sunday,13:51 19:04,,
Mykolaiv International Airport,Alicante International Airport,390,Nordwind Airlines,925,1354,1712,Monday Thursday Saturday Sunday,20:57 08:37 23:54,,
Mykolaiv International Airport,Alicante International Airport,121,Windrose,850,1297,3641,Thursday Friday Sunday,21:21 16:41 02:01,,
Mytilene International Airport,Alicante International Airport,368,EasyJet,400,2640,3446,Monday Wednesday Thursday Friday Saturday Sunday,00:51 08:06,,
Mytilene International Airport,Alicante International Airport,469,Nordwind Airlines,379,2317,1734,Monday Wednesday Thursday Saturday Sunday,16:44 22:07 06:41,,
Mytilene International Airport,Alicante International Airport,96,Virgin Atlantic,273,1571,3341,Monday Wednesday Friday,04:50 02:16 10:53,,
Odessa International Airport,Alicante International Airport,150,Air France-KLM,330,1213,3161,Monday Thursday,07:56 21:23,,
Odessa International Airport,Alicante International Airport,483,Nordwind Airlines,751,1283,3342,Tuesday Wednesday Thursday Friday Sunday,14:09 23:36,,
Odessa International Airport,Alicante International Airport,180,AirBaltic,513,1155,3206,Thursday Sunday,17:49 23:43 23:45,,
Odessa International Airport,Alicante International Airport,400,I-Fly,755,2471,2304,Thursday Friday Saturday,21:54 14:19 13:52,,
Odessa International Airport,Alicante International Airport,390,NordStar,727,954,4495,Monday Tuesday Friday Saturday Sunday,20:06 07:56,,
Odessa International Airport,Alicante International Airport,454,TAROM,109,2887,2354,Monday Tuesday Wednesday Saturday,18:45 02:30,,
Tirana International Airport Mother Teresa,Alicante International Airport,66,UTair Aviation,122,1238,4475,Monday Thursday Friday Sunday,00:24,,
Tirana International Airport Mother Teresa,Alicante International Airport,101,Smartavia,449,2430,1910,Tuesday Friday Sunday,00:58 05:32 04:13,,
Tirana International Airport Mother Teresa,Alicante International Airport,322,Air France-KLM,253,2367,3897,Tuesday Thursday Friday Saturday Sunday,13:27 06:49 05:56,,
Tirana International Airport Mother Teresa,Alicante International Airport,143,Blue Air,331,2672,3702,Monday Tuesday Sunday,16:51 07:00,,
Tirana International Airport Mother Teresa,Alicante International Airport,210,Bulgaria Air,830,1245,2782,Friday Sunday,08:18 03:15 13:29,,
Tirana International Airport Mother Teresa,Alicante International Airport,477,Ryanair,544,1147,3725,Monday Sunday,22:02 23:55 01:28,,
Volgograd International Airport,Alicante International Airport,501,Azerbaijan Airlines,788,982,2602,Monday Tuesday Thursday Saturday,16:20 19:59 03:14,,
Volgograd International Airport,Alicante International Airport,143,Aegean Airlines,924,2230,2758,Tuesday Friday,18:28 12:26 01:08,,
Volgograd International Airport,Alicante International Airport,168,Air Serbia,678,1208,2196,Monday Tuesday Sunday,10:20 20:03 10:01,,
Alexander the Great International Airport,Almería International Airport,97,LOT Polish Airlines,968,1208,3438,Monday Tuesday Saturday Sunday,07:26 03:10 08:51,,
Alexander the Great International Airport,Almería International Airport,470,Icelandair Group,860,718,1934,Monday Thursday Saturday,04:17 16:38 23:48,,
