City,Name,PropertyType,PlaceType,PricePerDay,Pet,Bathroom,Bedroom,Bed,AirConditioning,Dryer,Heating,Iron,Kitchen,Tv,Washer,WiFi
Albenga (SV),Fully-furnished modern apartment,Apartment,EntirePlace,28,FALSE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Barcelona,20 minutes to City. near the station,House,PrivateRoom,28,FALSE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Belfast,Chill Spot,Hotel,PrivateRoom,28,FALSE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Cluj-Napoca,1BR private bathroom personal kitchen in LIC 2BR,Hotel,PrivateRoom,28,TRUE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Cuneo,PrivateRoom twin sized comfy bed ,Hotel,PrivateRoom,28,TRUE,1,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Heraklion,Home away from home in cozy BK apartment,Hotel,PrivateRoom,28,TRUE,1,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Kaunas,Well-furnished Apt | SharedRoom 3pp,House,SharedRoom,28,FALSE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Magnitogorsk,cheap bohemian room in the heart of bushwick,Hotel,PrivateRoom,28,TRUE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Mostar,SunCity Room in Harlem,Hotel,PrivateRoom,28,TRUE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Paris,SharedRoom City,Apartment,SharedRoom,28,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Sabetta,"Furnished Sublet, City, Harlem",Hotel,PrivateRoom,28,TRUE,1,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Sarajevo,Easy access to City : Nice Condition room,House,PrivateRoom,28,TRUE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Uzhhorod,Bright Comfortable Cozy room with skylight for 1,Hotel,PrivateRoom,28,FALSE,1,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Volgograd,"MARTIAL LOFT 3: REDEMPTION (upstairs, 3rd room)",House,PrivateRoom,28,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Cluj-Napoca,PrivateRoom - SunCity and Spacious - City Loft,House,PrivateRoom,29,FALSE,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Debrecen,The most important thing  is the location ™ª,House,PrivateRoom,29,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Geneva,Small Reasonable stay in City 3min Subway Grand Ave,House,PrivateRoom,29,TRUE,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Kaunas,Treehouse Suite w/ Fire Escape & Late Checkout,Hotel,PrivateRoom,29,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Kryvyi Rih,Deluxe PrivateRoom with a queen bed in Hollis.,House,PrivateRoom,29,FALSE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Mytilene,Sofa bed/pull out couch in Living Room,Apartment,SharedRoom,29,TRUE,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Odessa,Chill BK Vibes,Hotel,PrivateRoom,29,TRUE,1,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Pisa,It is about 25min away from City.,House,PrivateRoom,29,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Sabetta,Easy access to City : Good Condition room,House,PrivateRoom,29,FALSE,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Thessaloniki,Lovely PrivateRoom unit in Central Harlem,Hotel,PrivateRoom,29,FALSE,1,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Ventspils,/City STYLE/ Bright Room with Queen-sized Bed,Hotel,PrivateRoom,29,TRUE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Zakynthos Island,Female Twin Room in Coliving|PACE University 25min,Apartment,SharedRoom,29,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Antwerp,2nd floor-Room # 8,Hotel,PrivateRoom,30,TRUE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Athens,Lovely PrivateRoom in City!,Hotel,PrivateRoom,30,FALSE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Belfast,Cozy Comfortable room for 1 in Renovated apartment,Hotel,PrivateRoom,30,FALSE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Cahul,2nd floor-Room 10,Hotel,PrivateRoom,30,TRUE,1,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Cahul,SANITIZED City PRIVATE CLEAN ROOM 6 TRAIN NO CURFEW,House,PrivateRoom,30,TRUE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Chernivtsi,Lovely Bedroom in Beautiful City Apartment!,Hotel,PrivateRoom,30,FALSE,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Constanţa,In shared house stay in City 3min Subway Grand Ave,House,PrivateRoom,30,TRUE,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Corvera,Bed room close to City¬†¸ with lots of sun light¸,House,PrivateRoom,30,FALSE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Glasgow,Great Room for International Students!,House,PrivateRoom,30,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Heraklion,19min to City & Safe Neighborhood&PrivateRoom,House,PrivateRoom,30,TRUE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Ivano-Frankivsk,"Private, Cheap and Comfortable Room!",Hotel,PrivateRoom,30,TRUE,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Katowice,Private Bushwick Room in Great Location!,Hotel,PrivateRoom,30,TRUE,1,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Kaunas,Spacious room in a great location!,Hotel,PrivateRoom,30,TRUE,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Kavala,¸A comfy room with a shared bathroom,House,PrivateRoom,30,TRUE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Kazan,2nd floor-Room # 9,Hotel,PrivateRoom,30,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Kerkyra Island,Nice SharedRoom,Apartment,SharedRoom,30,TRUE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Kherson,Woodside Sharing Cozy Room (FE),Apartment,SharedRoom,30,FALSE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Kiev,Easy Access to City 5 subway lines 5 min walk,GuestHouse,EntirePlace,30,TRUE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Kraków,A cozy place to rest,Apartment,SharedRoom,30,TRUE,1,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Krasnodar,"Room in artistic Bushwick, City.",Hotel,PrivateRoom,30,FALSE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Mariupol,Prospect Park Adventures HQ,Hotel,PrivateRoom,30,FALSE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Mytilene,"Large, cozy, PrivateRoom in ""Stuyswhick""",Hotel,PrivateRoom,30,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Nizhny Novgorod,Well-Designed SharedRoom in Coliving Apt,House,SharedRoom,30,FALSE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Oradea,SunCity Private Bushwick Bedroom,Hotel,PrivateRoom,30,FALSE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Ostend,great area in East Williamsburg,House,PrivateRoom,30,FALSE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Palanga,SharedRoom near Central Park 4/1,Apartment,SharedRoom,30,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Pisa,Beautiful Bedroom in Great Apt!,Hotel,PrivateRoom,30,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Plovdiv,"Spacious room in quiet Sunset Park, City",House,PrivateRoom,30,TRUE,1,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Riga,PrivateRoom In City Community House,House,PrivateRoom,30,TRUE,1,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Sarajevo,One Twin bed  in living room,House,PrivateRoom,30,FALSE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Souda,Bed Available in City,Apartment,SharedRoom,30,TRUE,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Ventspils,Blue House on Martense,Apartment,EntirePlace,30,TRUE,1,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Ventspils,Room in Brownstone Apartment,Hotel,PrivateRoom,30,TRUE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Volgograd,"Convenient and cozy room in City, 2345 trains",Hotel,PrivateRoom,30,FALSE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Zaporizhia,Cozy PrivateRoom in Ditmas Park Apt,Hotel,PrivateRoom,30,FALSE,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Zaporizhia,PrivateRoom in Bed-Stuy,Hotel,PrivateRoom,30,FALSE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Cherkasy,Classy Modern Female Shared Rental in City,Apartment,SharedRoom,31,FALSE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Kaunas,Good location 4min from subway 7 Line,House,PrivateRoom,31,FALSE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Mariupol,SharedRoom | GYM Coworking Rooftop,House,SharedRoom,31,FALSE,1,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Mostar,PrivateRoom in Wakefield,Hotel,PrivateRoom,31,TRUE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Nikolayev,Comfortable and Large Room,Hotel,PrivateRoom,31,FALSE,1,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Nikolayev,Beautiful communal house Bushwick,House,PrivateRoom,31,TRUE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Oradea,Dreamy Parkside Loft-Studio w/ Private Patio,House,PrivateRoom,31,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Ostend,Room in City With Central Air and Heat,Hotel,PrivateRoom,31,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Rostov-on-Don,Beautiful SharedRoom | Luxurious Apt,House,SharedRoom,31,TRUE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Sabetta,Shared Studio (),Apartment,SharedRoom,31,FALSE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Sarajevo,Cozy furnished room available in Harlem,Hotel,PrivateRoom,31,FALSE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Sármellék,Cozy room in Loft Apartment - City,Hotel,PrivateRoom,31,TRUE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Ufa,SunCity Room in Charming Bed-stuy Apartment,Hotel,PrivateRoom,31,FALSE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Vilnius,Great room in charming Fort Greene City,Hotel,PrivateRoom,31,TRUE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Voronezh,"Spacious, Peaceful Room",Hotel,PrivateRoom,31,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Zaporizhia,City Wildlife Loft rm 2,House,PrivateRoom,31,FALSE,1,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Albenga (SV),clinton Hill - bedsty,Hotel,PrivateRoom,32,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Almería,SunAlmería Room in Almería 2,House,PrivateRoom,32,FALSE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Athens,SunCity room right by park!,Hotel,PrivateRoom,32,TRUE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Geneva,SunCitysid -Locals' favorite neighbor for living,House,PrivateRoom,32,FALSE,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Karlovy Vary,Cafe DuChill (street facing),Hotel,PrivateRoom,32,TRUE,1,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Kavala,Cute studio in Ditmas Park,Apartment,EntirePlace,32,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Kherson,Cozy room in artsy Bushwick home,House,PrivateRoom,32,TRUE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Mariupol,"Crown Heights, Franklin Ave- SunCity Room",Hotel,PrivateRoom,32,FALSE,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Odessa,Blue rm 4bdrm Home Medical & Professionals ONLY,House,PrivateRoom,32,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Oradea,Affordable Male Twin Room in Coliving,Apartment,SharedRoom,32,TRUE,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Palanga,1920s Room 1 block from Prospect Park and Q Access,Hotel,PrivateRoom,32,TRUE,1,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Sármellék,Small Reasonable stay in City 3min Subway Grand Ave,House,PrivateRoom,32,FALSE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Ternopil,"Private bedroom in BK community, w/ parking",House,PrivateRoom,32,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Voronezh,2nd floor  - Room# 2,Hotel,PrivateRoom,32,FALSE,1,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Voronezh,Popular Room share Apartment in jackson heights,House,PrivateRoom,32,0,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Athens,PRIME location 2min to train 20min City,House,PrivateRoom,33,TRUE,1,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Barcelona,City. ,Hotel,PrivateRoom,33,FALSE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Cuneo,Great Shared 2 persons room,Apartment,SharedRoom,33,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Győr,New Renovate in 2019 & Everything is New,House,PrivateRoom,33,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Mărculeşti,NEAR SIUH & RUMC WALK TO TRAIN/STORES,Hotel,PrivateRoom,33,FALSE,1,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Milan,PrivateRoom in Large Apartment With Yard,Hotel,PrivateRoom,33,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Sabetta,New(2019) Renovated bath & 30-40 min to City,House,PrivateRoom,33,FALSE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Sarajevo,"Private, Spacious 2BR Apt",Hotel,PrivateRoom,33,TRUE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Sarajevo,Comfort room #4,Hotel,PrivateRoom,33,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Simferopol,GREAT 4 MED PROFESSIONALS NEAR HOSP. WALK 2 TRAIN,Hotel,PrivateRoom,33,FALSE,1,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Valletta,"Artist creative haven! Art making only, day rental",Apartment,SharedRoom,33,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Volgograd,Perfectly Located UpperWest Futon,Apartment,SharedRoom,33,FALSE,1,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Volgograd,Female Twin Stylish Room| Coliving |25 min to PACE,Apartment,SharedRoom,33,FALSE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Voronezh,Bedroom minutes to City - steps to train,Hotel,PrivateRoom,33,FALSE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Bălți,Private bedroom -3 mins to shopping center for 1,Hotel,PrivateRoom,34,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
